_id,name,min,max,val,employer,address,link
41122531,Инженер ПТО,80000.0,80000.0,руб,ООО Металлострой,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41122531?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40666764,Инженер ПТО,120000.0,130000.0,руб,ООО Стройтрансгаз Трубопроводстрой,Уфа,https://ramenskoye.hh.ru/vacancy/40666764?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41095423,Инженер ПТО,80000.0,,руб, KOMANDA.PRO,Нижневартовск,https://ramenskoye.hh.ru/vacancy/41095423?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41099696,Инженер,25000.0,,руб,АО НПО ГОИ им. С.И. Вавилова,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41099696?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41113275,Главный инженер,80000.0,,руб, Промышленная группа СТРОЙСИСТЕМА,Челябинск,https://ramenskoye.hh.ru/vacancy/41113275?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41053497,Инженер-сметчик,60000.0,100000.0,руб,ООО Производственные Технологии,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41053497?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40980594,Инженер ПТО,80000.0,110000.0,руб,ООО ПН СтройИнновация,Пермь,https://ramenskoye.hh.ru/vacancy/40980594?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40688754,Инженер-сметчик,120000.0,140000.0,руб,ООО Альмис-Интеграл,Москва,https://ramenskoye.hh.ru/vacancy/40688754?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41094892,Главный инженер,,,, Fratelli group,Краснодар,https://ramenskoye.hh.ru/vacancy/41094892?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41055824,Главный инженер,75000.0,,руб, КОЛХОЗ,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41055824?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41105986,Инженер геотехник,,,,"ОАО Жайремский ГОК, АО",Жайрем,https://ramenskoye.hh.ru/vacancy/41105986?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40835990,Инженер-технолог,60000.0,,руб, ТМС,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40835990?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40730098,Инженер-сметчик,82000.0,,руб,ООО Ресурс-Инт,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40730098?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40592635,Главный инженер,100000.0,,руб, Компания РОСА,Новосибирск,https://ramenskoye.hh.ru/vacancy/40592635?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40959459,Ведущий инженер,370000.0,,KZT,ТОО АФЛП,Талгар,https://ramenskoye.hh.ru/vacancy/40959459?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41097811,Главный инженер,,,, Ozon Производство,Москва,https://ramenskoye.hh.ru/vacancy/41097811?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41025564,Инженер-техник,45000.0,,руб,ООО Компания Апекслаб,Брянск,https://ramenskoye.hh.ru/vacancy/41025564?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41092131,Инженер ПТО,70000.0,80000.0,руб,ООО КАНЪЯР КОНСТРАКШН,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41092131?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41026041,Системный инженер,30000.0,45000.0,руб, Аксиоматика,Волгоград,https://ramenskoye.hh.ru/vacancy/41026041?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41032785,Инженер ПТО,,,,ООО РУСНЕФТЕГАЗСТРОЙ+,Свободный,https://ramenskoye.hh.ru/vacancy/41032785?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40805927,Сервисный инженер,,,, Johnson Controls,Москва,https://ramenskoye.hh.ru/vacancy/40805927?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41107230,Инженер,35000.0,40000.0,руб, МФ ФКУ ЦОКР в г. Ростове-на-Дону,Ростов-на-Дону,https://ramenskoye.hh.ru/vacancy/41107230?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40666778,Инженер ПТО,120000.0,130000.0,руб,ООО Стройтрансгаз Трубопроводстрой,Екатеринбург,https://ramenskoye.hh.ru/vacancy/40666778?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41005156,Инженер-электрик,,400000.0,KZT,ТОО Умирзак-Сервис,Кульсары,https://ramenskoye.hh.ru/vacancy/41005156?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41085032,Инженер-энергетик,60000.0,60000.0,руб,ООО Тюменское Экологическое Объединение,Тюмень,https://ramenskoye.hh.ru/vacancy/41085032?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40049647,Инженер ТГВ,100000.0,,руб,ООО АОС,Москва,https://ramenskoye.hh.ru/vacancy/40049647?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41081572,Главный инженер,,,,ООО Концессии теплоснабжения,Волгоград,https://ramenskoye.hh.ru/vacancy/41081572?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41071186,Инженер-механик,200.0,,белруб,УП Орхидея,Орша,https://ramenskoye.hh.ru/vacancy/41071186?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41022821,Инженер-технолог,,,,ООО Schaeffler Russland,Ульяновск,https://ramenskoye.hh.ru/vacancy/41022821?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40988704,Инженер-программист,100000.0,,руб,ООО ОДИСС,Москва,https://ramenskoye.hh.ru/vacancy/40988704?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41127840,Главный инженер,80000.0,80000.0,руб,ООО Мб-Групп,Москва,https://ramenskoye.hh.ru/vacancy/41127840?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41102596,Главный инженер,45000.0,,руб, Кантанелло,Омск,https://ramenskoye.hh.ru/vacancy/41102596?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41054118,Начинающий инженер по продажам промышленного оборудования / Инженер,,,,ООО Интеллектуальные робот системы,"Москва, Первомайская",https://ramenskoye.hh.ru/vacancy/41054118?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
