_id,name,min,max,val,employer,address,link
35358207,Инженер-проектировщик (электрика),90000.0,,руб,Специнжстрой,Москва,https://superjob.ru/vakansii/inzhener-proektirovschik-35358207.html
34309579,Ведущий инженер по администрированию КС (в т. ч. 1С),90000.0,,руб,Всероссийский научно-исследовательский институт авиационных материалов,Москва,https://superjob.ru/vakansii/veduschij-inzhener-po-administrirovaniyu-ks-34309579.html
34964284,Инженер контроля качества СМР,55000.0,,руб,Офис Фейс,Москва,https://superjob.ru/vakansii/inzhener-kontrolya-kachestva-smr-34964284.html
35285643,Инженер по внедрению и администрированию САПР Лоцман: PLM и Вертикаль,,,,КБ Свет Компьютерс,Москва,https://superjob.ru/vakansii/inzhener-po-vnedreniyu-i-administrirovaniyu-sapr-locman-35285643.html
11439349,"Техник, инженер по медицинскому оборудованию",60000.0,,руб,Фиеста,Москва,https://superjob.ru/vakansii/tehnik-11439349.html
34972168,Сервисный инженер по эксплуатации и ремонту оборудования,62000.0,,руб,Лента,Подольск,https://superjob.ru/vakansii/servisnyj-inzhener-po-ekspluatacii-i-remontu-oborudovaniya-34972168.html
34027353,Инженер ПТО,,,,СП,Подольск,https://superjob.ru/vakansii/inzhener-pto-34027353.html
35129743,Техник 1 категории / Инженер 1 категории,20000.0,,руб,Почта России,Москва,https://superjob.ru/vakansii/tehnik-1-kategorii-35129743.html
35288591,Ведущий инженер КИПиА,,,,Аплисенс,Ногинск,https://superjob.ru/vakansii/veduschij-inzhener-kipia-35288591.html
33528475,Инженер ПТО/Ведущий инженер ПТО,80000.0,,руб,Мосэнергосетьстрой,Москва,https://superjob.ru/vakansii/inzhener-pto-33528475.html
34822309,Инженер-сметчик,,,,НТЦ Энергоавтоматизация,Москва,https://superjob.ru/vakansii/inzhener-smetchik-34822309.html
35149763,Инженер-конструктор кованых изделий (ковка и металлоконструкции),,,,Грандковка,Мытищи,https://superjob.ru/vakansii/inzhener-konstruktor-kovanyh-izdelij-35149763.html
11918791,Инженер ПТО,70000.0,,руб,"ООО ""ДеКарТ-М""",Москва,https://superjob.ru/vakansii/inzhener-pto-11918791.html
32784371,Ведущий инженер-сметчик ПТО,,,,ГорТрансЭнерго,Москва,https://superjob.ru/vakansii/veduschij-inzhener-smetchik-pto-32784371.html
27885493,Инженер ПТО,70000.0,,руб,Строительная компания,Москва,https://superjob.ru/vakansii/inzhener-pto-27885493.html
29250326,Ведущий Инженер по ТБ и ОТ,80000.0,,руб,ЭСТ Консалтинг,Москва,https://superjob.ru/vakansii/veduschij-inzhener-po-tb-i-ot-29250326.html
29343289,Инженер-технолог по отделке мебельной продукции,80000.0,,руб,Кухонный Двор,Москва,https://superjob.ru/vakansii/inzhener-tehnolog-po-otdelke-mebelnoj-produkcii-29343289.html
35008474,Инженер ИТ (Центральный офис),70000.0,,руб,Cеть универсамов FIX PRICE,Москва,https://superjob.ru/vakansii/inzhener-it-35008474.html
31525723,Ведущий инженер ПТО,80000.0,,руб,ГЛАВМАШ,Москва,https://superjob.ru/vakansii/veduschij-inzhener-pto-31525723.html
35357010,Сервис-инженер,100000.0,,руб,МОССЕРВИС,Москва,https://superjob.ru/vakansii/servis-inzhener-35357010.html
34559830,Инженер-механик,35000.0,,руб,Леруа Мерлен Восток,Москва,https://superjob.ru/vakansii/inzhener-mehanik-34559830.html
35288598,Сервисный инженер,65000.0,,руб,Четыре стихии,Москва,https://superjob.ru/vakansii/servisnyj-inzhener-35288598.html
34821937,Инженер ПТО,,,,РемСтройФасад,Москва,https://superjob.ru/vakansii/inzhener-pto-34821937.html
31503445,Инженер-проектировщик тепловых сетей,80000.0,,руб,ПСК-71,Москва,https://superjob.ru/vakansii/inzhener-proektirovschik-teplovyh-setej-31503445.html
34607301,Ведущий инженер-проектировщик,90000.0,,руб,ТЭК,Москва,https://superjob.ru/vakansii/veduschij-inzhener-proektirovschik-34607301.html
34509537,Инженер слаботочных систем/пожарной безопасности,85000.0,,руб,ТСБ,Москва,https://superjob.ru/vakansii/inzhener-slabotochnyh-sistem-34509537.html
35288018,Ведущий инженер по метрологии (бюро механических измерений),,,,ГКНПЦ имени М. В. Хруничева,Москва,https://superjob.ru/vakansii/veduschij-inzhener-po-metrologii-35288018.html
35415286,Инженер-электронщик,,,,ЕВАНА,Москва,https://superjob.ru/vakansii/inzhener-elektronschik-35415286.html
33261744,Ведущий инженер по пожарной безопасности,,,,"""Концерн ""Калашников""",Москва,https://superjob.ru/vakansii/veduschij-inzhener-po-pozharnoj-bezopasnosti-33261744.html
35298235,Инженер НКУ,50000.0,,руб,КОРФ,Дзержинский,https://superjob.ru/vakansii/inzhener-nku-35298235.html
35231221,Инженер-электронщик КИПиА,60000.0,,руб,JOBCART.RU,Москва,https://superjob.ru/vakansii/inzhener-elektronschik-kipia-35231221.html
34377580,Инженер дорожного отдела ООО ИНСТРОЙПРОЕКТ,,,,"Проектно-изыскательский институт ООО "" ИНСТРОЙПРОЕКТ""",Москва,https://superjob.ru/vakansii/inzhener-dorozhnogo-otdela-ooo-instrojproekt-34377580.html
34962574,Инженер-конструктор,,,,СТС,Щербинка,https://superjob.ru/vakansii/inzhener-konstruktor-34962574.html
35317504,Инженер-эколог,,,,НТЦ ЭКОПРОФИ,Москва,https://superjob.ru/vakansii/inzhener-ekolog-35317504.html
29233987,Инженер-конструктор,,,,Строительная компания,Москва,https://superjob.ru/vakansii/inzhener-konstruktor-29233987.html
33028709,Инженер-конструктор,80000.0,,руб,Кухонный Двор,Люберцы,https://superjob.ru/vakansii/inzhener-konstruktor-33028709.html
35415954,Инженер ПТО ОВ и ВК,70000.0,,руб,JOBCART.RU,Москва,https://superjob.ru/vakansii/inzhener-pto-ov-i-vk-35415954.html
29671045,Инженер ПТО,90000.0,,руб,Тройка РЭД,Москва,https://superjob.ru/vakansii/inzhener-pto-29671045.html
34121307,Главный инженер-проектировщик по архитектурным и конструктивным решениям (котельные),90000.0,,руб,МОСГАЗ,Москва,https://superjob.ru/vakansii/glavnyj-inzhener-proektirovschik-po-arhitekturnym-i-konstruktivnym-resheniyam-34121307.html
34528231,Инженер-проектировщик,,65000.0,руб,ГКУ г. Москвы Администратор Московского Парковочного Пространства,Москва,https://superjob.ru/vakansii/inzhener-proektirovschik-34528231.html
