_id,name,compensation,employer,address,link
40914884,Главный инженер,"{'min': None, 'max': None, 'val': None}",ООО НИИ ТС Пилот,Нижневартовск,https://ramenskoye.hh.ru/vacancy/40914884?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40981244,Инженер по строительству,"{'min': 10000, 'val': 'руб', 'max': None}",ИП Киракосян Акоп Ашотович,Калининград,https://ramenskoye.hh.ru/vacancy/40981244?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
38674347,Инженер-технолог,"{'min': 40000, 'max': 50000, 'val': 'руб'}",ООО СТРОНГ,Тольятти,https://ramenskoye.hh.ru/vacancy/38674347?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39732339,Инженер-проектировщик,"{'min': None, 'max': None, 'val': None}",ООО Венталл,Обнинск,https://ramenskoye.hh.ru/vacancy/39732339?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
38922145,Инженер-технолог (машиностроение),"{'min': 30000, 'val': 'руб', 'max': None}"," Группа обществ СИАЛ, Красноярск",Красноярск,https://ramenskoye.hh.ru/vacancy/38922145?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40884765,Инженер-электроник,"{'min': 25000, 'val': 'руб', 'max': None}",ООО Молот-Оружие,Ижевск,https://ramenskoye.hh.ru/vacancy/40884765?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40998982,Инженер-эколог,"{'max': 50000, 'val': 'руб', 'min': None}","ООО Зеленая долина, ГК",Белгород,https://ramenskoye.hh.ru/vacancy/40998982?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40992169,Инженер по гарантии,"{'min': 40000, 'max': 50000, 'val': 'руб'}", Румос-Авто,Тверь,https://ramenskoye.hh.ru/vacancy/40992169?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40986102,Инженер-электрик,"{'min': None, 'max': None, 'val': None}",ООО Комплектснабэлектромонтаж,Липецк,https://ramenskoye.hh.ru/vacancy/40986102?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40956657,Инженер-сметчик,"{'max': 100000, 'val': 'руб', 'min': None}", IEK GROUP,Москва,https://ramenskoye.hh.ru/vacancy/40956657?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40627859,Инженер ПТО,"{'min': 40000, 'max': 60000, 'val': 'руб'}",ООО Феррит-НН,Выборг,https://ramenskoye.hh.ru/vacancy/40627859?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40670589,Сервисный инженер,"{'min': 900, 'val': 'белруб', 'max': None}",ОАО Белпромимпэкс,Могилев,https://ramenskoye.hh.ru/vacancy/40670589?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39707374,Инженер-сметчик,"{'min': None, 'max': None, 'val': None}", КУ РК Управление автомобильных дорог Республики Карелия,Петрозаводск,https://ramenskoye.hh.ru/vacancy/39707374?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40673802,Инженер-исследователь,"{'min': 100, 'val': 'белруб', 'max': None}",ООО Центромаш,Минск,https://ramenskoye.hh.ru/vacancy/40673802?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40759088,Инженер-проектировщик ПГС,"{'min': None, 'max': None, 'val': None}",ООО ПРОИНЖИНИРИНГ,Саратов,https://ramenskoye.hh.ru/vacancy/40759088?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40898570,Инженер-энергетик,"{'min': 75000, 'max': 80000, 'val': 'руб'}", АНО Социально-Реабилитационный Центр Сольба,Углич,https://ramenskoye.hh.ru/vacancy/40898570?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41023005,Инженер-проектировщик,"{'max': 75000, 'val': 'руб', 'min': None}",ООО Евротехлаб,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/41023005?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41052929,Инженер-проектировщик,"{'min': 40000, 'val': 'руб', 'max': None}",ООО Клевер Восток,Киров (Кировская область),https://ramenskoye.hh.ru/vacancy/41052929?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40928152,Инженер-обследователь,"{'min': None, 'max': None, 'val': None}"," Трубопроводсервис, ЭПЦ",Уфа,https://ramenskoye.hh.ru/vacancy/40928152?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
39800689,Инженер-техник,"{'min': 40000, 'max': 40000, 'val': 'руб'}"," Красная Поляна, НАО",Краснодар,https://ramenskoye.hh.ru/vacancy/39800689?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40950795,Инженер-сметчик,"{'min': None, 'max': None, 'val': None}", ANCOR,Екатеринбург,https://ramenskoye.hh.ru/vacancy/40950795?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40666950,Инженер по гарантии,"{'max': 50000, 'val': 'руб', 'min': None}", ГК АГАТ,Владимир,https://ramenskoye.hh.ru/vacancy/40666950?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41012927,Инженер-сметчик,"{'min': 40000, 'val': 'руб', 'max': None}",ООО Капитальное Строительство,Воронеж,https://ramenskoye.hh.ru/vacancy/41012927?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
40992410,Инженер ПТО,"{'min': 35000, 'val': 'руб', 'max': None}",ООО Стройкапитал,Санкт-Петербург,https://ramenskoye.hh.ru/vacancy/40992410?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
41027082,Инженер ПТО,"{'min': None, 'max': None, 'val': None}",ООО Техноклимат,Нижневартовск,https://ramenskoye.hh.ru/vacancy/41027082?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80
