_id,name,compensation,employer,address,link
31428889,Помощник менеджера / Ассистент инженера-менеджера,"{'min': 45000, 'val': 'руб', 'max': None}",ВИСТА,Москва,/vakansii/pomoschnik-menedzhera-31428889.html
35199797,Инженер слаботочных сетей,"{'min': 57000, 'val': 'руб', 'max': None}",DOSTAЕВСКИЙ,Москва,/vakansii/inzhener-slabotochnyh-setej-35199797.html
35386549,Инженер-конструктор,"{'min': 60000, 'val': 'руб', 'max': None}",Саста,Москва,/vakansii/inzhener-konstruktor-35386549.html
28001858,Инженер ОТК (окна ПВХ и AL),"{'min': None, 'max': None, 'val': None}",Строительная компания,Москва,/vakansii/inzhener-otk-28001858.html
30959747,Сервисный инженер,"{'min': None, 'max': None, 'val': None}",Группа Индустриальных Технологий,Москва,/vakansii/servisnyj-inzhener-30959747.html
35165355,Инженер КИПиА,"{'min': None, 'max': None, 'val': None}",«Черкизово»,Домодедово,/vakansii/inzhener-kipia-35165355.html
33391729,"Ведущий инженер по наладке, совершенствованию и эксплуатации электрических сетей","{'min': None, 'max': None, 'val': None}","""Концерн ""Калашников""",Москва,/vakansii/veduschij-inzhener-po-naladke-33391729.html
34973049,"Инженер-программист АСУТП (г. Амурск, Хабаровский край)","{'min': 80000, 'val': 'руб', 'max': None}",АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике,Москва,/vakansii/inzhener-programmist-asutp-34973049.html
28291465,"Системный инженер, системный администратор","{'min': 65000, 'val': 'руб', 'max': None}",Лан-Проект,Москва,/vakansii/sistemnyj-inzhener-28291465.html
30114074,Инженер-эколог,"{'min': 60000, 'val': 'руб', 'max': None}","«ЦЭИИС» (Государственное бюджетное учреждение города Москвы «Центр экспертиз, исследований и испытан",Москва,/vakansii/inzhener-ekolog-30114074.html
35310084,Инженер строительного контроля,"{'min': None, 'max': None, 'val': None}","Группа Компаний ""Медси""",Москва,/vakansii/inzhener-stroitelnogo-kontrolya-35310084.html
35164218,Инженер-энергетик 1 категории,"{'min': None, 'max': None, 'val': None}",МОСГАЗ,Москва,/vakansii/inzhener-energetik-1-kategorii-35164218.html
34498983,Ведущий инженер-проектировщик НВК,"{'min': None, 'max': None, 'val': None}",Желдорпроект,Москва,/vakansii/veduschij-inzhener-proektirovschik-nvk-34498983.html
35395119,"Инженер-механик (технолог, конструктор)","{'min': 50000, 'val': 'руб', 'max': None}",БК Групп,Балашиха,/vakansii/inzhener-mehanik-35395119.html
35328067,Инженер технической поддержки,"{'min': 50000, 'val': 'руб', 'max': None}",Эйч АР Ти Групп,Москва,/vakansii/inzhener-tehnicheskoj-podderzhki-35328067.html
35374553,Инженер по обслуживанию упаковочного оборудования,"{'min': 100000, 'val': 'руб', 'max': None}",СН упаковочные машины,Москва,/vakansii/inzhener-po-obsluzhivaniyu-upakovochnogo-oborudovaniya-35374553.html
35342280,Инженер службы мониторинга и технической поддержки / Специалист Helpdesk,"{'max': 50000, 'val': 'руб', 'min': None}",ТЕЛЕКАРТА,Москва,/vakansii/inzhener-sluzhby-monitoringa-i-tehnicheskoj-podderzhki-35342280.html
35221837,Инженер-технолог (металлообработка),"{'min': 70000, 'val': 'руб', 'max': None}",JOBCART.RU,Москва,/vakansii/inzhener-tehnolog-35221837.html
32452173,"Инженер (по обеспечению безопасности информации), специалист по защите информации","{'min': None, 'max': None, 'val': None}","ФГБУ ""52 консультативно-диагностический центр"" Минобороны России",Москва,/vakansii/inzhener-32452173.html
35289695,Ведущий инженер (эксплуатация сети),"{'min': 116000, 'val': 'руб', 'max': None}",МГТС,Москва,/vakansii/veduschij-inzhener-35289695.html
35036534,Инженер по наладке и обслуживанию ИТСО и связи (вахта),"{'min': None, 'max': None, 'val': None}",Инженерные системы энергетики,Москва,/vakansii/inzhener-po-naladke-i-obsluzhivaniyu-itso-i-svyazi-35036534.html
34964284,Инженер контроля качества СМР,"{'min': 55000, 'val': 'руб', 'max': None}",Офис Фейс,Москва,/vakansii/inzhener-kontrolya-kachestva-smr-34964284.html
26799146,Инженер-технолог,"{'min': 70000, 'val': 'руб', 'max': None}",Группа Индустриальных Технологий,Москва,/vakansii/inzhener-tehnolog-26799146.html
32755408,Инженер-метролог,"{'min': None, 'max': None, 'val': None}","""Концерн ""Калашников""",Москва,/vakansii/inzhener-metrolog-32755408.html
35129844,Инженер-технолог,"{'min': 80000, 'val': 'руб', 'max': None}",БКК «Коломенский»,Москва,/vakansii/inzhener-tehnolog-35129844.html
35129743,Техник 1 категории / Инженер 1 категории,"{'min': 20000, 'val': 'руб', 'max': None}",Почта России,Москва,/vakansii/tehnik-1-kategorii-35129743.html
11918791,Инженер ПТО,"{'min': 70000, 'val': 'руб', 'max': None}","ООО ""ДеКарТ-М""",Москва,/vakansii/inzhener-pto-11918791.html
27885493,Инженер ПТО,"{'min': 70000, 'val': 'руб', 'max': None}",Строительная компания,Москва,/vakansii/inzhener-pto-27885493.html
35008474,Инженер ИТ (Центральный офис),"{'min': 70000, 'val': 'руб', 'max': None}",Cеть универсамов FIX PRICE,Москва,/vakansii/inzhener-it-35008474.html
35006197,Главный специалист/ (Инженер строительство),"{'max': 90000, 'val': 'руб', 'min': None}",Центродорстрой,Москва,/vakansii/glavnyj-specialist-35006197.html
34559830,Инженер-механик,"{'min': 35000, 'val': 'руб', 'max': None}",Леруа Мерлен Восток,Москва,/vakansii/inzhener-mehanik-34559830.html
35129446,Инженер сметно-договорного отдела,"{'min': 75000, 'val': 'руб', 'max': None}",АЛЬФА КОНСТРАКТ,Москва,/vakansii/inzhener-smetno-dogovornogo-otdela-35129446.html
35288018,Ведущий инженер по метрологии (бюро механических измерений),"{'min': None, 'max': None, 'val': None}",ГКНПЦ имени М. В. Хруничева,Москва,/vakansii/veduschij-inzhener-po-metrologii-35288018.html
35298235,Инженер НКУ,"{'min': 50000, 'val': 'руб', 'max': None}",КОРФ,Дзержинский,/vakansii/inzhener-nku-35298235.html
35005501,Инженер технической поддержки,"{'min': None, 'max': None, 'val': None}",ФГБНУ Научный центр неврологии,Москва,/vakansii/inzhener-tehnicheskoj-podderzhki-35005501.html
35231221,Инженер-электронщик КИПиА,"{'min': 60000, 'val': 'руб', 'max': None}",JOBCART.RU,Москва,/vakansii/inzhener-elektronschik-kipia-35231221.html
34377580,Инженер дорожного отдела ООО ИНСТРОЙПРОЕКТ,"{'min': None, 'max': None, 'val': None}","Проектно-изыскательский институт ООО "" ИНСТРОЙПРОЕКТ""",Москва,/vakansii/inzhener-dorozhnogo-otdela-ooo-instrojproekt-34377580.html
34121307,Главный инженер-проектировщик по архитектурным и конструктивным решениям (котельные),"{'min': 90000, 'val': 'руб', 'max': None}",МОСГАЗ,Москва,/vakansii/glavnyj-inzhener-proektirovschik-po-arhitekturnym-i-konstruktivnym-resheniyam-34121307.html
34528231,Инженер-проектировщик,"{'max': 65000, 'val': 'руб', 'min': None}",ГКУ г. Москвы Администратор Московского Парковочного Пространства,Москва,/vakansii/inzhener-proektirovschik-34528231.html
34191591,Инженер Devops,"{'min': None, 'max': None, 'val': None}",КонсалтПромТорг,Москва,/vakansii/inzhener-devops-34191591.html
35304727,Инженер по буровзрывным работам,"{'min': 144000, 'val': 'руб', 'max': None}",Руссдрагмет,Москва,/vakansii/inzhener-po-burovzryvnym-rabotam-35304727.html
34162607,Инженер по эксплуатации в автотранспортную службу,"{'min': None, 'max': None, 'val': None}",«Черкизово»,Москва,/vakansii/inzhener-po-ekspluatacii-v-avtotransportnuyu-sluzhbu-34162607.html
26663783,Сервисный инженер (телекоммуникационное оборудование),"{'min': None, 'max': None, 'val': None}",Группа Индустриальных Технологий,Москва,/vakansii/servisnyj-inzhener-26663783.html
29233987,Инженер-конструктор,"{'min': None, 'max': None, 'val': None}",Строительная компания,Москва,/vakansii/inzhener-konstruktor-29233987.html
35129351,"Инженер-энергетик (м. Саларьево, Леруа мерлен)","{'max': 70000, 'val': 'руб', 'min': None}",Леруа Мерлен Восток,Москва,/vakansii/inzhener-energetik-35129351.html
33261744,Ведущий инженер по пожарной безопасности,"{'min': None, 'max': None, 'val': None}","""Концерн ""Калашников""",Москва,/vakansii/veduschij-inzhener-po-pozharnoj-bezopasnosti-33261744.html
34121439,Главный инженер-проектировщик АСУТП,"{'max': 110000, 'val': 'руб', 'min': None}",МОСГАЗ,Москва,/vakansii/glavnyj-inzhener-proektirovschik-asutp-34121439.html
35323638,Горный инженер (БВР),"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Москва,/vakansii/gornyj-inzhener-35323638.html
35394859,Инженер-программист,"{'min': 10000, 'val': 'руб', 'max': None}",АТВЕНДОР,Москва,/vakansii/inzhener-programmist-35394859.html
33525552,Технический специалист (инженера по комплектации),"{'min': 35000, 'val': 'руб', 'max': None}",Staffmax,Москва,/vakansii/tehnicheskij-specialist-33525552.html
34171728,Инженер-гидрометеоролог,"{'min': None, 'max': None, 'val': None}",Желдорпроект,Москва,/vakansii/inzhener-gidrometeorolog-34171728.html
32201339,Инженер ПТО,"{'min': 60000, 'val': 'руб', 'max': None}",Зелёные крыши,Москва,/vakansii/inzhener-pto-32201339.html
35394791,Инженер-конструктор деревянных конструкций,"{'min': None, 'max': None, 'val': None}",Экокомплект,Москва,/vakansii/inzhener-konstruktor-derevyannyh-konstrukcij-35394791.html
32311559,Инженер по ремонту ноутбуков,"{'max': 60000, 'val': 'руб', 'min': None}",РСС,Москва,/vakansii/inzhener-po-remontu-noutbukov-32311559.html
34441726,Инженер ПТО,"{'min': 80000, 'val': 'руб', 'max': None}",СТРОИТЕЛЬНО-МОНТАЖНАЯ КОМПАНИЯ,Москва,/vakansii/inzhener-pto-34441726.html
35263679,Инженер по эксплуатации зданий,"{'min': 54000, 'val': 'руб', 'max': None}",Дикси Групп,Москва,/vakansii/inzhener-po-ekspluatacii-zdanij-35263679.html
35159126,Инженер-сметчик ВиК,"{'min': 70000, 'val': 'руб', 'max': None}",Стаффмикс,Москва,/vakansii/inzhener-smetchik-vik-35159126.html
35273995,Инженер систем вентиляции и кондиционирования,"{'min': 55000, 'val': 'руб', 'max': None}",,Москва,/vakansii/inzhener-sistem-ventilyacii-i-kondicionirovaniya-35273995.html
35260313,Инженер по эксплуатации зданий,"{'min': 70000, 'val': 'руб', 'max': None}","Сеть магазинов ""Верный""",Москва,/vakansii/inzhener-po-ekspluatacii-zdanij-35260313.html
26021879,Инженер-сметчик,"{'min': None, 'max': None, 'val': None}",Инженерная компания МРЭС,Москва,/vakansii/inzhener-smetchik-26021879.html
35373445,Инженер-проектировщик,"{'min': None, 'max': None, 'val': None}",ОДК-УМПО ОКБ им. Люльки,Москва,/vakansii/inzhener-proektirovschik-35373445.html
34638846,Ведущий инженер ПТО,"{'min': 80000, 'val': 'руб', 'max': None}",АльмакорГруп,Москва,/vakansii/veduschij-inzhener-pto-34638846.html
29650228,Инженер-сметчик по наружным инженерным сетям,"{'min': None, 'max': None, 'val': None}",Строительная компания,Москва,/vakansii/inzhener-smetchik-po-naruzhnym-inzhenernym-setyam-29650228.html
31800128,Инженер-эколог,"{'min': None, 'max': None, 'val': None}",Желдорпроект,Москва,/vakansii/inzhener-ekolog-31800128.html
35157706,Инженер НКУ,"{'min': 80000, 'val': 'руб', 'max': None}",Стаффмикс,Москва,/vakansii/inzhener-nku-35157706.html
34752350,"Инженер-энергетик (Тверская область, г. Конаково)","{'min': None, 'max': None, 'val': None}",Агропромкомплектация,Москва,/vakansii/inzhener-energetik-34752350.html
34476752,Ведущий инженер,"{'min': 600, 'val': 'руб', 'max': None}",Каверион Санкт-Петербург,Москва,/vakansii/veduschij-inzhener-34476752.html
32149491,Руководитель подземного горного участка / Горный инженер рудника,"{'min': None, 'max': None, 'val': None}",Руссдрагмет,Москва,/vakansii/rukovoditel-podzemnogo-gornogo-uchastka-32149491.html
